1755401066.0216997,What is crop rotation?,"Crop rotation refers to the practice of growing different crops in the same soil to maintain its fertility.

Sources: [None] (Textbook does not mention crop rotation explicitly)",p_23|p_40|p_65|p_39|p_42
1755401093.6988716,Name two methods of irrigation used in agriculture.,"Two methods of irrigation used in agriculture are Sprinkler System and Drip system. The Sprinkler system gets sprinkled as if it is raining and is best for watering fruit plants, gardens, and trees. The Drip system drops water directly near the roots of the plant, making it suitable for watering plants like pulses. 

Sources: [1], [2]",p_56|p_55|p_68|p_67|p_69
1755401096.414281,What are microorganisms?,"Microorganisms are tiny organisms that are too small to be seen with the unaided eye. They are found in water, plants, animals, and soil. They are classified into four major groups: bacteria, fungi, protozoa, and some algae. Some microorganisms are harmless, while others can be harmful.

Sources:
[1],[2],[3]",p_24|p_74|p_72|p_96|p_71
1755401098.882816,Name one disease caused by bacteria and one caused by protozoa.,"Here is the answer:

According to the textbook, one disease caused by bacteria is anthrax, which is caused by the bacterium Bacillus anthracis [2].

One disease caused by protozoa is malaria, which is caused by a protozoan [1].

Sources: [1], [2]",p_96|p_88|p_98|p_99|p_73
1755401101.2041016,What are synthetic fibres? Give two examples.,"Synthetic fibres are man-made fibres, which are obtained from chemical substances. They are synthesized from raw materials called petrochemicals.

Examples of synthetic fibres are Rayon and Nylon.

Sources: [1], [3]",p_123|p_25|p_103|p_122|p_110
1755401103.4100468,Write one advantage and one disadvantage of plastics.,"Here's the answer:

One advantage of plastics is that they are ""Light, Strong and Durable."" This makes them useful for storing various kinds of materials, including many chemicals, as mentioned in [2].

One disadvantage of plastics is that they are non-biodegradable in nature. This means that they do not decompose naturally and can take years to degenerate when dumped in the ground, as mentioned in [5].

Sources: [2],[5]",p_117|p_115|p_124|p_121|p_122
1755401107.0541523,Name two metals and two non-metals.,"Answer: Aluminium is a metal, and Carbon is a non-metal.

Sources: [1], [3]",p_26|p_152|p_150|p_149|p_134
1755401114.8159683,What are fossil fuels?,"Fossil fuels are coal, petroleum, and natural gas. These fuels were formed from the dead remains of living organisms millions of years ago. [1],[2]

Sources: [1],[2]",p_166|p_159|p_167|p_168|p_27
1755401124.4052656,Why is petroleum called black gold?,"Petroleum is called ""black gold"" because of its great commercial importance and high value. [2]

Sources: [2]",p_161|p_163|p_162|p_27|p_160
1755401134.185469,What is combustion?,"Combustion is the process of burning or oxidizing a substance, which results in the release of heat and light. [1], [3]

Sources: [1],[3]",p_28|p_194|p_195|p_180|p_184
1755401144.3590937,What is the SI unit of force?,"The SI unit of force is Newton (N).

[Sources: [1], [2], [4]]",p_351|p_33|p_149|p_348|p_354
1755401156.000426,Define pressure.,"Pressure is the force that arises due to the interaction between two objects. It looks like a force that pushes or pulls on an object. [1],[4]

Sources: [1], [4]",p_33|p_350|p_340|p_348|p_347
1755401166.0582218,What is the force of friction?,"The force of friction is the force that opposes the relative motion between two surfaces in contact. It acts on both surfaces and depends on the nature of the surfaces in contact, the state of smoothness of those surfaces, and how hard the two surfaces press together. [2]

Sources: [2], [3]",p_333|p_376|p_368|p_351|p_359
1755401175.535946,What is a cell?,"A cell is the smallest living part of an organism. It is like a brick that is assembled to make the body of every organism. [1], [4], [5]",p_30|p_234|p_245|p_227|p_229
1755401185.040441,What is the function of haemoglobin?,"Haemoglobin is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.

Sources: None.",p_30|p_226|p_231|p_233|p_236
1755401197.2942069,What is photosynthesis?,"Photosynthesis is the process by which chloroplasts in the chlorophyll-containing leaves of plants convert light energy from the sun into chemical energy in the form of glucose. [1]

Sources: [1]",p_243|p_584|p_201|p_244|p_38
1755401208.419508,Name two methods of water purification used at home.,"Two methods of water purification used at home are:

1. Boiling: Boiling water is a physical method of removing impurities, making it safe for drinking.

2. Household filter: Many households use a candle type filter, which is a physical method of removing impurities from water.

Sources:
[1], [2]",p_588|p_587|p_55|p_585|p_56
1755401219.9105215,What is pollution?,"Pollution is the contamination of air, water, or soil by impurities or unwanted substances that can have a harmful impact on living organisms and non-living components. [1]

Sources: [1]",p_589|p_590|p_565|p_570|p_591
1755401230.973529,What is the ozone layer?,"The ozone layer is the layer of the atmosphere that protects us from harmful ultraviolet rays of the sun and chemicals. [1]

Sources:
[1]",p_569|p_568|p_574|p_589|p_562
1755401240.9385328,What is global warming?,"Global warming is the gradual increase in the average temperature of the earth's atmosphere. It is caused by the accumulation of CO2 in the atmosphere, which traps heat and does not allow it to escape into space. [3]

Sources: [3]",p_574|p_572|p_575|p_573|p_571
1755401460.582873,What is crop rotation?,"Crop rotation is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.

Sources: [1], [2], [3], [4], [5]",p_23|p_40|p_65|p_39|p_42
1755401467.1466842,Name two methods of irrigation used in agriculture.,"Two methods of irrigation used in agriculture are:

* Sprinkler System: This system is more useful on uneven land where sufficient water is not available. The perpendicular pipes, having rotating nozzles on top, are joined to the main pipeline. When water is allowed to flow through the main pipe under pressure, it escapes from the rotating nozzles, making it look like it's raining on the crop.
* Drip system: In this system, water falls drop by drop directly near the roots of the plants. So, it is the best technique for watering fruit plants, gardens, and trees.

Sources: [1], [3]",p_56|p_55|p_68|p_67|p_69
1755401476.1533248,What are microorganisms?,"Microorganisms are tiny organisms that can be seen with the help of a magnifying glass or a microscope. They include bacteria, fungi, protozoa, and some algae. [1],[2],[3]

Sources: [1],[2],[3]",p_24|p_74|p_72|p_96|p_71
1755401482.03533,Name one disease caused by bacteria and one caused by protozoa.,"One disease caused by bacteria is anthrax, which is caused by the bacterium Bacillus anthracis [2].

One disease caused by protozoa is malaria, which is caused by the protozoan [2].

Sources: [2],[4]",p_96|p_88|p_98|p_99|p_73
1755401488.5693705,What are synthetic fibres? Give two examples.,"Here's the answer:

Synthetic fibres are made by humans from raw materials called petrochemicals. They are synthesized from small units of chemicals that combine to form a polymer, a large single unit.

Two examples of synthetic fibres are Nylon and Polyester.

Sources:
[1],[3]",p_123|p_25|p_103|p_122|p_110
1755401495.3966274,Write one advantage and one disadvantage of plastics.,"Advantages of plastics:

One advantage of plastics is that they are ""Light, Strong and Durable"" [2], making them suitable for storing various kinds of materials, including chemicals.

Sources: [2]",p_117|p_115|p_124|p_121|p_122
1755401500.9044402,Name two metals and two non-metals.,"Here's the answer:

Two metals: (a) Iron, (b) Copper

Two non-metals: (d) Carbon, (iv) Gold

Sources:
[1], [2], [3], [5]",p_26|p_152|p_150|p_149|p_134
1755401506.8307028,What are fossil fuels?,"Fossil fuels are fuels that are formed from the dead remains of living organisms, such as coal, petroleum, and natural gas, and are exhaustible resources.

Sources: [1], [2], [3]",p_166|p_159|p_167|p_168|p_27
1755401512.8526466,Why is petroleum called black gold?,"Petroleum is called ""black gold"" due to its great commercial importance. [2]

Sources: [2]",p_161|p_163|p_162|p_27|p_160
1755401517.3573127,What is combustion?,"Combustion is the process of burning or burning up of a substance with the release of heat and light. [1],[3]

Sources: [1], [3]",p_28|p_194|p_195|p_180|p_184
1755401524.4135027,What is the SI unit of force?,"The SI unit of force is not explicitly mentioned in the provided textbook snippets. However, we can infer that force is a measurable quantity, and its unit is not specified in the snippets.

Answer:

I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.",p_351|p_33|p_149|p_348|p_354
1755401532.2774773,Define pressure.,"Pressure is the force that arises due to the interaction between two objects. [1]

Sources: [1]",p_33|p_350|p_340|p_348|p_347
1755401542.377447,What is the force of friction?,"The force of friction is the force that opposes the relative motion between two surfaces in contact. It acts on both surfaces and is important for many of our activities. Friction depends on the nature of the surfaces in contact, their state of smoothness, and how hard they press together.

Sources: [2]",p_333|p_376|p_368|p_351|p_359
1755401552.5078673,What is a cell?,"A cell is the smallest living part of an organism. It is the basic structural and functional unit of living organisms. Just like bricks are assembled to make a building, cells are assembled to make the body of every organism.

Sources: [1],[3]",p_30|p_234|p_245|p_227|p_229
1755401562.712334,What is the function of haemoglobin?,"Haemoglobin is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.

(Sources: None)",p_30|p_226|p_231|p_233|p_236
1755401573.6380618,What is photosynthesis?,"Photosynthesis is the process by which plants make their own food. This is mentioned in [1] as ""It is called chlorophyll in the chloroplasts of leaves, which is essential for photosynthesis.""

Sources: [1]",p_243|p_584|p_201|p_244|p_38
1755401585.6470816,Name two methods of water purification used at home.,"Two methods of water purification used at home are:

* Boiling: This is a simple and effective method of purifying water, where germs present in the water are killed by heat.
* Household filter: Some households use a candle type filter that uses a physical method of removing impurities from the water.

Sources: [1],[2]",p_588|p_587|p_55|p_585|p_56
1755401597.337034,What is pollution?,"Pollution is the contamination of air and water by substances which may have a harmful impact on the living organisms and the non-living components. [1]

Sources:
[1]",p_589|p_590|p_565|p_570|p_591
1755401607.35544,What is the ozone layer?,The ozone layer is the layer of the atmosphere that protects us from the harmful ultraviolet rays of the sun and chemicals like sulphur dioxide and nitrogen dioxide. It is responsible for absorbing these chemicals and converting them into less harmful substances.,p_569|p_568|p_574|p_589|p_562
1755401617.9655402,What is global warming?,"Global warming is the gradual increase in the average temperature of the Earth's atmosphere. This is happening because of the accumulation of carbon dioxide (CO2) in the atmosphere, which traps heat and prevents it from escaping into space. This leads to a warming effect, making the Earth's temperature rise. [1],[2],[3]

Sources: [1], [2],[3]",p_574|p_572|p_575|p_573|p_571
1755402040.3712392,What is crop rotation?,"Crop rotation is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.

Sources: None applicable",p_23|p_40|p_65|p_39|p_42
1755402046.540203,Name two methods of irrigation used in agriculture.,"Two methods of irrigation used in agriculture are:

1. Sprinkler System: This system is more useful on uneven land where sufficient water is not available. The perpendicular pipes having rotating nozzles on top are joined to the main pipeline at regular intervals, and when water is allowed to flow through the main pipe under pressure, it escapes from the rotating nozzles and sprinkles the crop as if it is raining.
2. Drip System: In this system, water falls drop by drop directly near the roots of the plants, making it the best technique for watering fruit plants, gardens, and trees.

Sources: [1], [2]",p_56|p_55|p_68|p_67|p_69
