question,gold,gen,bleu,rougeL,bert_f1
What is crop rotation?,"['Crop rotation is the practice of growing different crops in succession on the same field to maintain soil fertility.', 'Crop rotation means planting different crops alternately in the same field to prevent soil nutrients from being exhausted.', 'It is the method of cultivating different crops one after another on the same land to keep the soil fertile.']",Crop rotation is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try rephrasing your question to be within the textbook.,0.02284411468856457,0.13793103448275862,0.8444684743881226
Name two methods of irrigation used in agriculture.,"['Two common methods of irrigation are sprinkler system and drip irrigation.', 'Irrigation can be done by sprinkler method or drip method.', 'Two important irrigation techniques are the sprinkler and the drip system.']","Two methods of irrigation used in agriculture are:

1. Sprinkler System: This system is more useful on uneven land where sufficient water is not available. The perpendicular pipes, having rotating nozzles on top, are joined to the main pipeline.
2. Drip System: In this system, the water falls drop by drop directly near the roots of the plants. It is the best technique for watering fruit plants, gardens, and trees.",0.016721120912122155,0.24,0.884246289730072
What are microorganisms?,"['Microorganisms are tiny living organisms, such as bacteria, fungi, protozoa and some algae, which can only be seen under a microscope.', 'Very small organisms like bacteria, protozoa, some fungi and algae that cannot be seen without a microscope are called microorganisms.', 'Microorganisms are minute organisms that are visible only under a microscope.']","Microorganisms are tiny living organisms that are too small to be seen with the unaided eye. They are used for various purposes, such as in the preparation of curd, bread, and cake, and also in the production of alcohol. Microorganisms can be classified into four major groups: bacteria, fungi, protozoa, and some algae.",0.18373344524824237,0.43243243243243246,0.90695720911026
Name one disease caused by bacteria and one caused by protozoa.,"['Tuberculosis is caused by bacteria, while malaria is caused by protozoa.', 'A bacterial disease is tuberculosis, and a protozoan disease is malaria.', 'Tuberculosis is an example of a bacterial disease; malaria is an example of a protozoan disease.']","According to the textbook, one disease caused by bacteria is:

Anthrax disease, which is caused by a bacterium (Bacillus anthracis).

One disease caused by protozoa is:

Dysentery, which is caused by protozoa (protozoans).",0.03312498979466406,0.30769230769230765,0.8619539737701416
What are synthetic fibres? Give two examples.,"['Synthetic fibres are man-made fibres prepared from chemicals. Examples include nylon and polyester.', 'Fibres made by humans from chemicals are called synthetic fibres, such as nylon and polyester.', 'Synthetic fibres are artificial fibres, for example polyester and nylon.']","Synthetic fibres are man-made fibres made by humans using raw materials of petroleum origin, called petrochemicals. They are also called artificial fibres. Examples of synthetic fibres include Rayon and Nylon.",0.2423680701003884,0.4571428571428572,0.9326022267341614
Write one advantage and one disadvantage of plastics.,"['Plastics are durable and light in weight, but they are non-biodegradable and cause pollution.', 'Plastics are strong and light, but they do not decompose easily and pollute the environment.', 'An advantage of plastic is durability; a disadvantage is that it is non-biodegradable.']","Here's the answer:

Advantage of plastics: Plastic is very light, strong, durable and can be moulded into different shapes and sizes, making it useful for various purposes.

Disadvantage of plastics: Plastic waste keeps getting accumulated in our homes and ultimately finds its way to the garbage due to non-biodegradable nature, making disposal a major problem.",0.01888979634684977,0.2926829268292683,0.8845754265785217
Name two metals and two non-metals.,"['Examples of metals are iron and copper, while examples of non-metals are sulphur and carbon.', 'Iron and copper are metals; sulphur and carbon are non-metals.', 'Two metals are iron and copper; two non-metals are carbon and sulphur.']","The two metals are:

1. Aluminium
2. Copper

The two non-metals are:

1. Carbon
2. Sulphur",0.24712442545253582,0.7272727272727274,0.8830444812774658
What are fossil fuels?,"['Fossil fuels are natural fuels like coal, petroleum, and natural gas formed from the remains of dead plants and animals over millions of years.', 'Coal, petroleum, and natural gas are fossil fuels formed from ancient plant and animal remains.', 'Fuels such as coal, oil, and gas formed from buried dead organisms are called fossil fuels.']","Fossil fuels are formed from the dead remains of living organisms millions of years ago. They are coal, petroleum and natural gas. [1]",0.2665781189032312,0.38709677419354843,0.9440224170684814
Why is petroleum called black gold?,"['Petroleum is called black gold because of its black colour and high economic value.', 'Due to its dark colour and great commercial importance, petroleum is known as black gold.', 'Petroleum is referred to as black gold since it is black in colour and extremely valuable.']","Petroleum is called ""black gold"" due to its great commercial importance. [2]",0.4463236137853328,0.4444444444444444,0.9305577278137207
What is combustion?,"['Combustion is a chemical process in which a substance reacts with oxygen to release heat and light.', 'The burning of a substance with oxygen to give out heat and light is called combustion.', 'Combustion is the process of burning in which a material reacts with oxygen producing heat and light.']","Combustion is the process of burning of a substance with the help of oxygen, resulting in the release of heat and light. [1], [2]",0.161089927696874,0.6666666666666666,0.9306274056434631
What is the SI unit of force?,"['The SI unit of force is newton (N).', 'Force is measured in newtons in the SI system.', 'The standard SI unit for force is called a newton.']",The SI unit of force is not mentioned in the provided textbook snippets. I'm focused on Class 8 Science content. I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.,0.05039518688486959,0.25,0.8597199320793152
Define pressure.,"['Pressure is the force acting per unit area.', 'When a force is applied per unit area, it is called pressure.', 'Pressure is defined as force divided by area.']","Pressure is the force that arises due to the interaction between two objects, and it is measured as force per unit area [1]. It is a push or a pull force that acts on an object [2]. Atmospheric pressure is the force exerted by the air in the atmosphere on a unit area [4].",0.04179882049216857,0.29411764705882354,0.8683904409408569
What is the force of friction?,"['Friction is the opposing force that comes into play when one surface moves or tends to move over another surface.', 'The contact force that resists motion between two surfaces is called friction.', 'Friction is the force that opposes relative motion between two surfaces in contact.']","The force of friction is a contact force that opposes the relative motion between two surfaces in contact. It depends on the nature of the surfaces, the state of smoothness of the surfaces, and how hard the two surfaces press together. [1, 2, 3]",0.26512298021756175,0.5,0.9122157096862793
What is a cell?,"['A cell is the structural and functional unit of life.', 'The basic structural and functional unit of all living organisms is called a cell.', 'Cells are the smallest units of life, making up the structure and function of organisms.']","A cell is the smallest living part of an organism. It is a structural and functional unit of an organ, which is the basic building block of an organism. Like bricks are assembled to make a building, cells are assembled to make the body of every organism. [1],[4]",0.05085570764977474,0.29411764705882354,0.9065520167350769
What is the function of haemoglobin?,"['Haemoglobin in red blood cells helps transport oxygen from the lungs to body tissues.', 'The function of haemoglobin is to carry oxygen in the blood.', 'Haemoglobin transports oxygen from the lungs to all body parts.']","Haemoglobin is not mentioned in the provided textbook snippets, so I don't have a textbook answer for that. Try re-phrasing your question to be within the textbook.",0.017033186037639283,0.11764705882352941,0.8552024960517883
What is photosynthesis?,"['Photosynthesis is the process by which green plants prepare their own food from carbon dioxide and water using sunlight in the presence of chlorophyll.', 'Green plants make food by using water and carbon dioxide in sunlight; this is called photosynthesis.', 'Photosynthesis is the process where plants prepare food in the presence of chlorophyll and sunlight.']","Photosynthesis is the process by which green plants make their own food. This is essential for their survival, as they can produce their own food in the chloroplasts of leaves, using chlorophyll, and the energy from the sun.",0.2925612730731506,0.4827586206896552,0.9258992075920105
Name two methods of water purification used at home.,"['Two methods of water purification are boiling and filtration.', 'Water can be purified at home by boiling or by filtering.', 'Boiling and filtration are common methods to make water safe for drinking at home.']","Two methods of water purification used at home are:

1. Boiling: Boiling is a physical method of removing impurities from water. By boiling, germs present in water get killed.
2. Household filter: Many households use a candle type filter or popular household filter to remove impurities from water.",0.07315986666459885,0.2439024390243902,0.8957909941673279
What is pollution?,"['Pollution is the undesirable change in the physical, chemical, or biological characteristics of air, water, or soil.', 'When air, water, or soil is contaminated, it is called pollution.', 'Pollution means harmful changes in the environment caused by impurities.']","Pollution is the contamination of air and water by impurities which may have a harmful impact on the living organisms and the non-living components. According to the chapter, ""Air pollution is the contamination of air by impurities which may have a harmful impact on the living organisms and the non-living components."" [1]",0.017209538164201187,0.17142857142857143,0.881462812423706
